Current,Voc,V_err
300,0.018643728,0.0020120942310279605
320,0.50443424,0.0003141128943548762
340,0.61957746,8.373005672992543e-05
360,0.7242915,0.0001234772367685626
380,0.8098611,9.041931209645724e-05
400,0.87010454,3.348549536738857e-05
420,0.9156251599999999,0.00011789674465397021
440,0.94631288,0.0009077279094530228
460,0.96813942,0.0013497330660541432
480,0.9892313999999999,0.00026283485309221843
500,1.0045628,9.617983156565274e-05
520,1.017029,2.797856322251482e-05
540,1.0290866,8.777243303024428e-06
560,1.0390422000000001,7.235025915641883e-05
580,1.0480648000000001,3.0241693074262912e-05
600,1.0557152,4.3152751940050145e-05
620,1.0625768,9.346657156417277e-06
640,1.0695318,2.015341162186755e-05
660,1.0746580000000001,3.1131977129648215e-05
680,1.079637,1.0334408546258987e-05
700,1.0845208,1.9782820830199822e-05
720,1.0893620000000002,4.4461219056614584e-05
740,1.0935828,5.9060646796322285e-05
760,1.0951964,0.0001259850784815089
780,1.1001412,8.011341959992169e-05
