in_lp,in_nolp,out_lp,out_nolp,empty_lp,empty_nolp
2.29992e-06,0.000647251,2.78131e-05,0.0134373,3.1302e-05,0.0140525
1.80747e-06,0.000647489,2.75058e-05,0.0134373,3.14678e-05,0.0140534
1.46637e-06,0.00064737,2.74816e-05,0.0134364,3.11697e-05,0.0140544
1.53878e-06,0.000647012,2.75803e-05,0.0134364,3.05458e-05,0.0140563
1.76091e-06,0.000646714,2.74238e-05,0.0134373,3.03203e-05,0.0140572
2.04171e-06,0.000646476,2.72488e-05,0.0134373,3.00595e-05,0.0140572
2.37233e-06,0.000646476,2.70755e-05,0.0134364,2.95957e-05,0.0140572
2.62448e-06,0.000646595,2.72599e-05,0.0134354,2.92828e-05,0.0140582
2.67454e-06,0.000647072,2.73605e-05,0.0134345,2.913e-05,0.0140601
2.26522e-06,0.000647787,2.73288e-05,0.0134345,2.92753e-05,0.014061
