in_lp,in_nolp,out_lp,out_nolp,empty_lp,empty_nolp
6.30601e-06,0.00285698,0.00011126,0.0598109,0.000125454,0.0623209
6.73116e-06,0.00285675,0.000111573,0.0598109,0.000125901,0.0623248
7.10462e-06,0.00285722,0.000111804,0.0598071,0.000125625,0.0623286
6.91277e-06,0.00285746,0.000111633,0.0598032,0.000125439,0.0623286
6.63431e-06,0.0028577,0.000111066,0.0597994,0.000125342,0.0623324
6.27435e-06,0.00285746,0.000110977,0.0597918,0.000125133,0.0623324
5.81102e-06,0.00285722,0.000111156,0.0597842,0.000124984,0.0623362
5.879e-06,0.00285722,0.000111618,0.0597804,0.000125186,0.06234
6.09274e-06,0.00285746,0.00011158,0.0597765,0.000125402,0.0623438
5.83383e-06,0.00285746,0.000111275,0.0597689,0.000125335,0.0623438
