in_lp,in_nolp,out_lp,out_nolp,empty_lp,empty_nolp
1.24323e-05,0.00512603,0.000197412,0.106423,0.000224234,0.10994
1.23997e-05,0.00512555,0.000197859,0.106423,0.000223936,0.10994
1.26251e-05,0.0051246,0.000197769,0.106431,0.000223518,0.109948
1.25394e-05,0.0051246,0.000197292,0.106431,0.000223399,0.109948
1.21194e-05,0.00512365,0.000196815,0.106438,0.000223518,0.109948
1.1446e-05,0.00512317,0.000197292,0.106438,0.000223965,0.109948
1.10446e-05,0.00512269,0.000197948,0.106438,0.000224502,0.10994
1.06488e-05,0.00512269,0.000197769,0.106438,0.000224383,0.10994
1.07643e-05,0.00512221,0.000197173,0.106446,0.00022322,0.10994
1.12989e-05,0.00512269,0.000196786,0.106453,0.000222207,0.10994
