in_lp,in_nolp,out_lp,out_nolp,empty_lp,empty_nolp
9.25367e-05,0.0295049,0.0011145,0.619999,0.00132716,0.647099
9.21865e-05,0.0295106,0.00111402,0.62006,0.00132728,0.647099
9.19257e-05,0.0295125,0.0011139,0.62006,0.0013274,0.647099
9.17916e-05,0.0295163,0.00111426,0.620121,0.00132764,0.647099
9.16277e-05,0.0295202,0.00111438,0.620121,0.00132776,0.647099
9.15607e-05,0.0295221,0.0011145,0.620121,0.001328,0.647099
9.17916e-05,0.029524,0.00111438,0.620182,0.00132836,0.647099
9.19406e-05,0.029524,0.00111414,0.620243,0.00132859,0.647099
9.22908e-05,0.029524,0.00111402,0.620304,0.00132871,0.647038
9.26037e-05,0.029524,0.00111402,0.620304,0.00132895,0.647038
