in_lp,in_nolp,out_lp,out_nolp,empty_lp,empty_nolp
8.39314e-06,0.00400785,0.000154474,0.0836301,0.000174225,0.0867467
8.06345e-06,0.00400785,0.000154571,0.0836301,0.000174315,0.0867391
8.31677e-06,0.00400785,0.000154705,0.0836339,0.000173897,0.0867391
8.55332e-06,0.00400737,0.000154757,0.0836339,0.00017357,0.0867314
8.64366e-06,0.00400689,0.000154519,0.0836377,0.000173659,0.0867238
9.18569e-06,0.00400665,0.000154153,0.0836377,0.000174106,0.0867162
9.27137e-06,0.00400713,0.000153647,0.0836377,0.000174434,0.0867162
8.86066e-06,0.00400808,0.000153177,0.0836415,0.000174255,0.0867085
8.92958e-06,0.00400856,0.000153557,0.0836415,0.000174196,0.0867009
9.0879e-06,0.00400904,0.00015393,0.0836453,0.000174285,0.0866933
