in_lp,in_nolp,out_lp,out_nolp,empty_lp,empty_nolp
5.24821e-05,0.0181543,0.000697199,0.381746,0.000801031,0.392641
5.21096e-05,0.0181543,0.000697616,0.381716,0.000801865,0.392702
5.24076e-05,0.0181543,0.000698093,0.381685,0.00080264,0.392733
5.32607e-05,0.0181543,0.000698153,0.381594,0.000802282,0.392733
5.36407e-05,0.0181543,0.000697974,0.381502,0.000802282,0.392733
5.34209e-05,0.0181543,0.000697736,0.38138,0.000802521,0.392733
5.27578e-05,0.0181543,0.000697736,0.381319,0.000802103,0.392733
5.24337e-05,0.0181504,0.000697438,0.381289,0.000801805,0.392733
5.24933e-05,0.0181504,0.000697199,0.381258,0.000802103,0.392733
5.28509e-05,0.0181485,0.000696722,0.381197,0.000802699,0.392733
