in_lp,in_nolp,out_lp,out_nolp,empty_lp,empty_nolp
7.5758e-05,0.0242463,0.000913266,0.50806,0.00108255,0.529179
7.55903e-05,0.0242444,0.000913743,0.50806,0.00108279,0.52924
7.52402e-05,0.0242406,0.000913981,0.508121,0.00108326,0.52924
7.4957e-05,0.0242387,0.000914101,0.508183,0.00108362,0.52924
7.49161e-05,0.0242368,0.000914101,0.508183,0.0010835,0.52924
7.56201e-05,0.0242349,0.000914339,0.508121,0.0010829,0.529301
7.62907e-05,0.024233,0.000914935,0.508121,0.00108267,0.529301
7.60076e-05,0.024233,0.000915293,0.508121,0.00108279,0.529301
7.53705e-05,0.0242349,0.000916127,0.508121,0.0010829,0.529301
7.49533e-05,0.0242349,0.000916246,0.50806,0.00108338,0.529362
