in_lp,in_nolp,out_lp,out_nolp,empty_lp,empty_nolp
1.67115e-06,0.00027919,1.27256e-05,0.00563863,1.39131e-05,0.00593618
1.16858e-06,0.000279011,1.28914e-05,0.00563863,1.39159e-05,0.00593665
1.00001e-06,0.000279488,1.2992e-05,0.00563911,1.37678e-05,0.00593665
5.30625e-07,0.000279846,1.28523e-05,0.00563863,1.33347e-05,0.00593761
3.49713e-07,0.000279518,1.23187e-05,0.00563911,1.36104e-05,0.00593761
1.5722e-06,0.00027922,1.17655e-05,0.00563958,1.40844e-05,0.00593761
1.94566e-06,0.000278445,1.18241e-05,0.00563958,1.41385e-05,0.00593713
1.2907e-06,0.00027773,1.26288e-05,0.00564006,1.45734e-05,0.00593761
9.90585e-07,0.000277849,1.31354e-05,0.00564006,1.4525e-05,0.00593761
1.07266e-06,0.000277819,1.32258e-05,0.00564006,1.37203e-05,0.00593761
