in_lp,in_nolp,out_lp,out_nolp,empty_lp,empty_nolp
2.47337e-06,0.00118459,4.76541e-05,0.0249063,5.32942e-05,0.0260068
3.21215e-06,0.00118435,4.82092e-05,0.0249082,5.39946e-05,0.0260049
3.93417e-06,0.00118376,4.82874e-05,0.0249101,5.43075e-05,0.0260049
3.81962e-06,0.00118352,4.80453e-05,0.024912,5.41511e-05,0.0260049
3.47105e-06,0.00118352,4.82055e-05,0.0249139,5.37748e-05,0.0260049
2.97163e-06,0.00118376,4.78926e-05,0.0249139,5.33464e-05,0.0260049
2.45917e-06,0.00118376,4.73077e-05,0.0249139,5.33613e-05,0.0260049
2.38373e-06,0.00118352,4.66185e-05,0.0249139,5.35736e-05,0.0260049
2.68339e-06,0.00118328,4.67228e-05,0.0249139,5.35252e-05,0.0260049
3.05359e-06,0.00118304,4.72779e-05,0.0249139,5.29292e-05,0.0260049
