in_lp,in_nolp,out_lp,out_nolp,empty_lp,empty_nolp
3.77002e-05,0.0136271,0.0005312,0.291994,0.000620011,0.304995
3.77747e-05,0.0136262,0.000531498,0.291994,0.000620846,0.305025
3.79572e-05,0.0136262,0.000531916,0.291964,0.000621382,0.304995
3.78101e-05,0.0136262,0.000532094,0.291903,0.000621203,0.304995
3.73872e-05,0.0136252,0.000532214,0.291872,0.000621323,0.304964
3.70985e-05,0.0136252,0.000532214,0.291872,0.000621621,0.304964
3.73351e-05,0.0136243,0.000532214,0.291872,0.000621621,0.304964
3.76089e-05,0.0136262,0.000532094,0.291842,0.000621501,0.304995
3.74897e-05,0.013629,0.000531856,0.291811,0.000621144,0.305025
3.71153e-05,0.0136309,0.000531856,0.291811,0.000621323,0.305056
