in_lp,in_nolp,out_lp,out_nolp,empty_lp,empty_nolp
6.18635e-07,8.19047e-05,4.59424e-06,0.00165118,4.19238e-06,0.00171698
7.53676e-07,8.11447e-05,4.65618e-06,0.00165082,4.46875e-06,0.00171614
8.70674e-07,8.11038e-05,4.80449e-06,0.0016507,4.8138e-06,0.00171603
1.23506e-06,8.11187e-05,4.49832e-06,0.00165106,4.74977e-06,0.00171686
1.6304e-06,8.205e-05,4.38796e-06,0.00165153,4.48528e-06,0.00171734
1.28418e-06,8.29031e-05,4.51741e-06,0.00165106,4.15536e-06,0.00171698
8.67647e-07,8.28956e-05,4.49296e-06,0.00164998,4.22893e-06,0.00171603
1.36428e-06,8.25939e-05,4.6145e-06,0.00164986,4.53394e-06,0.00171507
1.67185e-06,8.22362e-05,4.9081e-06,0.00165058,5.22335e-06,0.00171448
1.3715e-06,8.22288e-05,4.94465e-06,0.00165129,5.46084e-06,0.00171364
