in_lp,in_nolp,out_lp,out_nolp,empty_lp,empty_nolp
1.53129e-05,0.00642589,0.000254663,0.138917,0.000292303,0.143945
1.47578e-05,0.00642589,0.000255259,0.138917,0.000292154,0.143945
1.50316e-05,0.00642684,0.000254991,0.138909,0.000291528,0.143945
1.54638e-05,0.00642732,0.000254842,0.138902,0.000291022,0.143945
1.53986e-05,0.00642827,0.000254633,0.138902,0.000290992,0.143945
1.54387e-05,0.00642827,0.000254573,0.138902,0.000291558,0.143945
1.57758e-05,0.00642779,0.000254484,0.138902,0.000291826,0.143945
1.65199e-05,0.00642684,0.000254484,0.138902,0.000291707,0.143945
1.67043e-05,0.00642541,0.000254156,0.138894,0.000291528,0.143945
1.6383e-05,0.00642446,0.000254067,0.138894,0.000290962,0.143952
