in_lp,in_nolp,out_lp,out_nolp,empty_lp,empty_nolp
4.75047e-06,0.00190855,7.56127e-05,0.0399935,8.49222e-05,0.0418646
3.9216e-06,0.00190903,7.6056e-05,0.0399935,8.43336e-05,0.0418665
3.35813e-06,0.00190903,7.66222e-05,0.0399954,8.48141e-05,0.0418684
3.10504e-06,0.00190879,7.66036e-05,0.0399954,8.52575e-05,0.0418704
3.29992e-06,0.00190855,7.61491e-05,0.0399973,8.52724e-05,0.0418723
3.52693e-06,0.00190855,7.56835e-05,0.0400012,8.48291e-05,0.0418723
3.5423e-06,0.00190879,7.55345e-05,0.040005,8.44602e-05,0.0418742
3.65406e-06,0.0019095,7.59517e-05,0.0400069,8.46465e-05,0.0418742
3.57234e-06,0.00190998,7.62385e-05,0.0400088,8.51606e-05,0.0418742
4.07247e-06,0.00190998,7.64397e-05,0.0400145,8.58498e-05,0.0418723
