Current,Voc,V_err
300,0.052103724,0.009943733860969127
320,0.51794782,0.00024081335012827784
340,0.64493674,0.0005395350168432035
360,0.74577206,0.00041743889900200317
380,0.8153902000000001,3.774774165428997e-05
400,0.87200194,0.000521502512362113
420,0.90963832,0.00032901042779824726
440,0.9403473199999999,0.00022270501925191822
460,0.96388982,0.00017656268461938333
480,0.98359986,9.419684920421333e-05
500,1.0001102,3.1473163171159325e-05
520,1.0133012,6.891850259543575e-05
540,1.0266845999999998,7.647378635846174e-05
560,1.0376398,6.369426975798836e-05
580,1.048149,7.292461861402088e-05
600,1.0565176,2.1275337835155716e-05
620,1.0642354,1.3893883546350094e-05
640,1.0706664,3.566286584108928e-05
660,1.0767592000000001,3.310226578349533e-05
680,1.0824258,5.418486873665914e-06
700,1.0873845999999998,3.247522132334661e-05
720,1.0937385999999998,3.312763197089734e-05
740,1.0958902000000001,4.9563696391628384e-05
760,1.1021672,9.501031522948386e-05
780,1.1073524,2.737590181168743e-05
