Current,Voc,V_err
300,0.032027198,0.005698512788717421
320,0.51834366,0.00012185364335954497
340,0.6454631,0.0011373195804170373
360,0.7457229,0.00017575311092552873
380,0.81270656,0.0003757286765739291
400,0.86841586,0.000304087708400076
420,0.90448878,0.00015463972840120614
440,0.9346724,0.000128742425019861
460,0.9588631,0.0001528226030402638
480,0.9780359599999999,5.9074312522437505e-05
500,0.9943431,0.00010950839237243994
520,1.0072032,9.536330531185012e-05
540,1.0206684,4.056402346905792e-05
560,1.0321194,9.198391163669642e-05
580,1.0432228000000001,3.158733923584288e-05
600,1.0521163999999998,4.5670997361556395e-05
620,1.0600960000000001,3.499142752160855e-05
640,1.066888,4.409081537011914e-05
660,1.0725924,2.4944738924316317e-05
680,1.0776879999999998,2.797856322258466e-05
700,1.0823617999999997,7.756287771878463e-06
720,1.0890170000000001,1.3827508813979954e-05
740,1.0909514000000002,3.119358908496374e-05
760,1.0967756000000002,2.4335981591052076e-05
780,1.1024439999999998,7.3756355658296445e-06
